tDA
0.00100
0.00150
0.00200
0.00250
0.00300
0.00400
0.00500
0.00600
0.00700
0.00800
0.00900
0.01000
0.01500
0.02000
0.02500
0.03000
0.04000
0.05000
0.06000
0.07000
0.08000
0.09000
0.10000
0.15000
0.20000
0.25000
0.30000
0.40000
0.50000
0.60000
0.70000
0.80000
0.90000
1.00000
1.50000
2.00000
2.50000
3.00000
4.00000
5.00000
6.00000
7.00000
8.00000
9.00000
10.00000
