tDA,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
0.6,3.7709E+00,3.4401E+00,3.1094E+00,2.7787E+00,2.4480E+00,2.1172E+00,1.7865E+00,1.4558E+00,1.1251E+00,7.9435E-01,4.6363E-01
0.7,4.3992E+00,4.0056E+00,3.6121E+00,3.2185E+00,2.8250E+00,2.4314E+00,2.0379E+00,1.6443E+00,1.2507E+00,8.5719E-01,4.6363E-01
0.8,5.0275E+00,4.5711E+00,4.1147E+00,3.6583E+00,3.2020E+00,2.7456E+00,2.2892E+00,1.8328E+00,1.3764E+00,9.2002E-01,4.6363E-01
0.9,5.6558E+00,5.1366E+00,4.6174E+00,4.0982E+00,3.5789E+00,3.0597E+00,2.5405E+00,2.0213E+00,1.5021E+00,9.8285E-01,4.6363E-01
1,6.2841E+00,5.7021E+00,5.1200E+00,4.5380E+00,3.9559E+00,3.3739E+00,2.7918E+00,2.2098E+00,1.6277E+00,1.0457E+00,4.6363E-01
1.5,9.4257E+00,8.5295E+00,7.6333E+00,6.7371E+00,5.8409E+00,4.9447E+00,4.0485E+00,3.1523E+00,2.2561E+00,1.3598E+00,4.6363E-01
2,1.2567E+01,1.1357E+01,1.0147E+01,8.9362E+00,7.7258E+00,6.5155E+00,5.3051E+00,4.0947E+00,2.8844E+00,1.6740E+00,4.6363E-01
2.5,1.5709E+01,1.4184E+01,1.2660E+01,1.1135E+01,9.6108E+00,8.0863E+00,6.5617E+00,5.0372E+00,3.5127E+00,1.9882E+00,4.6363E-01
3,1.8850E+01,1.7012E+01,1.5173E+01,1.3334E+01,1.1496E+01,9.6570E+00,7.8184E+00,5.9797E+00,4.1410E+00,2.3023E+00,4.6363E-01
4,2.5133E+01,2.2666E+01,2.0199E+01,1.7732E+01,1.5265E+01,1.2798E+01,1.0331E+01,7.8643E+00,5.3974E+00,2.9305E+00,4.6363E-01
5,3.1410E+01,2.8315E+01,2.5220E+01,2.2126E+01,1.9031E+01,1.5937E+01,1.2842E+01,9.7474E+00,6.6528E+00,3.5582E+00,4.6363E-01
6,3.7673E+01,3.3952E+01,3.0231E+01,2.6510E+01,2.2789E+01,1.9068E+01,1.5347E+01,1.1626E+01,7.9055E+00,4.1846E+00,4.6364E-01
7,4.3910E+01,3.9566E+01,3.5221E+01,3.0876E+01,2.6532E+01,2.2187E+01,1.7842E+01,1.3498E+01,9.1530E+00,4.8083E+00,4.6365E-01
8,5.0109E+01,4.5145E+01,4.0180E+01,3.5215E+01,3.0251E+01,2.5286E+01,2.0322E+01,1.5357E+01,1.0393E+01,5.4282E+00,4.6369E-01
9,5.6256E+01,5.0677E+01,4.5097E+01,3.9518E+01,3.3939E+01,2.8360E+01,2.2781E+01,1.7201E+01,1.1622E+01,6.0430E+00,4.6378E-01
10,6.2339E+01,5.6152E+01,4.9964E+01,4.3777E+01,3.7589E+01,3.1402E+01,2.5214E+01,1.9026E+01,1.2839E+01,6.6514E+00,4.6393E-01
